Check-in date,Check-out date,Room description,Room capacity,Meals,Price,Number available,felix-id,package-id,room-id,name-param,Scrape date
2024-07-30,2024-07-31,Single room,1,Overnight stay without breakfast,172.80€,2,101,1026,,101-1-1026,2024-04-22
2024-07-30,2024-07-31,Single room,1,Overnight breakfast,190.80€,2,101,1023,,101-1-1023,2024-04-22
2024-07-30,2024-07-31,Single room,1,Non refundable Bed & Breakfast,190.80€,2,101,1141,,101-1-1141,2024-04-22
2024-07-30,2024-07-31,Single room,1,Kultur & Natur in Bregenz,206.80€,2,101,1432,,101-1-1432,2024-04-22
2024-07-30,2024-07-31,Single room,1,Overnight half board,214.30€,2,101,1024,,101-1-1024,2024-04-22
2024-08-06,2024-08-07,Single room,1,Overnight stay without breakfast,180.00€,1,101,1026,,101-1-1026,2024-04-22
2024-08-06,2024-08-07,Single room,1,Overnight breakfast,198.00€,1,101,1023,,101-1-1023,2024-04-22
2024-08-06,2024-08-07,Single room,1,Non refundable Bed & Breakfast,198.00€,1,101,1141,,101-1-1141,2024-04-22
2024-08-06,2024-08-07,Single room,1,Kultur & Natur in Bregenz,214.00€,1,101,1432,,101-1-1432,2024-04-22
2024-08-06,2024-08-07,Single room,1,Overnight half board,221.50€,1,101,1024,,101-1-1024,2024-04-22
2024-08-09,2024-08-10,Family & Friends plus room,3,Overnight stay without breakfast,273.80€,1,302,1026,,302-1-1026,2024-04-22
2024-08-09,2024-08-10,Family & Friends plus room,3,Overnight breakfast,291.80€,1,302,1023,,302-1-1023,2024-04-22
2024-08-09,2024-08-10,Family & Friends plus room,3,Kultur & Natur in Bregenz,307.80€,1,302,1432,,302-1-1432,2024-04-22
2024-08-09,2024-08-10,Family & Friends plus room,3,Overnight half board,315.30€,1,302,1024,,302-1-1024,2024-04-22
2024-08-13,2024-08-14,Apartement,4,Overnight stay without breakfast,264.00€,2,603,1026,,603-1-1026,2024-04-22
2024-08-13,2024-08-14,Apartement,4,Overnight breakfast,282.00€,2,603,1023,,603-1-1023,2024-04-22
2024-08-13,2024-08-14,Apartement,4,Kultur & Natur in Bregenz,298.00€,2,603,1432,,603-1-1432,2024-04-22
2024-08-13,2024-08-14,Apartement,4,Overnight half board,305.50€,2,603,1024,,603-1-1024,2024-04-22
2024-08-13,2024-08-14,Family & Friends plus room,4,Overnight stay without breakfast,278.40€,1,402,1026,,402-1-1026,2024-04-22
2024-08-13,2024-08-14,Family & Friends plus room,4,Overnight breakfast,296.40€,1,402,1023,,402-1-1023,2024-04-22
2024-08-13,2024-08-14,Family & Friends plus room,4,Kultur & Natur in Bregenz,312.40€,1,402,1432,,402-1-1432,2024-04-22
2024-08-13,2024-08-14,Family & Friends plus room,4,Overnight half board,319.90€,1,402,1024,,402-1-1024,2024-04-22
