Check-in date,Check-out date,Room description,Room capacity,Meals,Price,Number available,felix-id,package-id,room-id,name-param,Scrape date
2024-08-09,2024-08-10,Single room,1,Overnight stay without breakfast,181.30€,1,101,1026,,101-1-1026,2024-08-05
2024-08-09,2024-08-10,Single room,1,Non refundable Bed & Breakfast,190.50€,1,101,1141,,101-1-1141,2024-08-05
2024-08-09,2024-08-10,Single room,1,Overnight breakfast,199.30€,1,101,1023,,101-1-1023,2024-08-05
2024-08-09,2024-08-10,Single room,1,Kultur & Natur in Bregenz,215.30€,1,101,1432,,101-1-1432,2024-08-05
2024-08-09,2024-08-10,Single room,1,Overnight half board,222.80€,1,101,1024,,101-1-1024,2024-08-05
2024-08-09,2024-08-10,Double room deluxe,2,Overnight stay without breakfast,238.80€,1,205,1026,,205-1-1026,2024-08-05
2024-08-09,2024-08-10,Double room deluxe,2,Overnight breakfast,256.80€,1,205,1023,,205-1-1023,2024-08-05
2024-08-09,2024-08-10,Double room deluxe,2,Kultur & Natur in Bregenz,272.80€,1,205,1432,,205-1-1432,2024-08-05
2024-08-09,2024-08-10,Double room deluxe,2,Overnight half board,280.30€,1,205,1024,,205-1-1024,2024-08-05
2024-08-09,2024-08-10,Family & Friends plus room,3,Overnight stay without breakfast,263.80€,1,302,1026,,302-1-1026,2024-08-05
2024-08-09,2024-08-10,Family & Friends plus room,3,Overnight breakfast,281.80€,1,302,1023,,302-1-1023,2024-08-05
2024-08-09,2024-08-10,Family & Friends plus room,3,Kultur & Natur in Bregenz,297.80€,1,302,1432,,302-1-1432,2024-08-05
2024-08-09,2024-08-10,Family & Friends plus room,3,Overnight half board,305.30€,1,302,1024,,302-1-1024,2024-08-05
2024-08-10,2024-08-11,Family & Friends plus room,3,Overnight stay without breakfast,253.20€,3,302,1026,,302-1-1026,2024-08-05
2024-08-10,2024-08-11,Family & Friends plus room,3,Overnight breakfast,271.20€,3,302,1023,,302-1-1023,2024-08-05
2024-08-10,2024-08-11,Family & Friends plus room,3,Kultur & Natur in Bregenz,287.20€,3,302,1432,,302-1-1432,2024-08-05
2024-08-10,2024-08-11,Family & Friends plus room,3,Overnight half board,294.70€,3,302,1024,,302-1-1024,2024-08-05
2024-08-10,2024-08-11,Studio,4,Overnight stay without breakfast,255.00€,1,918,1026,,918-1-1026,2024-08-05
2024-08-10,2024-08-11,Studio,4,Overnight breakfast,273.00€,1,918,1023,,918-1-1023,2024-08-05
2024-08-10,2024-08-11,Studio,4,Kultur & Natur in Bregenz,289.00€,1,918,1432,,918-1-1432,2024-08-05
2024-08-10,2024-08-11,Studio,4,Overnight half board,296.50€,1,918,1024,,918-1-1024,2024-08-05
2024-08-11,2024-08-12,Double room,2,Overnight stay without breakfast,170.40€,4,201,1026,,201-1-1026,2024-08-05
2024-08-11,2024-08-12,Double room,2,Non refundable Bed & Breakfast,180.00€,4,201,1141,,201-1-1141,2024-08-05
2024-08-11,2024-08-12,Double room,2,Overnight breakfast,188.40€,4,201,1023,,201-1-1023,2024-08-05
2024-08-11,2024-08-12,Double room,2,Kultur & Natur in Bregenz,204.40€,4,201,1432,,201-1-1432,2024-08-05
2024-08-11,2024-08-12,Double room,2,Overnight half board,211.90€,4,201,1024,,201-1-1024,2024-08-05
2024-08-11,2024-08-12,Family & Friends plus room,4,Overnight stay without breakfast,233.40€,2,402,1026,,402-1-1026,2024-08-05
2024-08-11,2024-08-12,Family & Friends plus room,4,Overnight breakfast,251.40€,2,402,1023,,402-1-1023,2024-08-05
2024-08-11,2024-08-12,Family & Friends plus room,4,Kultur & Natur in Bregenz,267.40€,2,402,1432,,402-1-1432,2024-08-05
2024-08-11,2024-08-12,Family & Friends plus room,4,Overnight half board,274.90€,2,402,1024,,402-1-1024,2024-08-05
2024-08-11,2024-08-12,Family & Friends plus room,3,Overnight stay without breakfast,245.00€,1,302,1026,,302-1-1026,2024-08-05
2024-08-11,2024-08-12,Family & Friends plus room,3,Overnight breakfast,263.00€,1,302,1023,,302-1-1023,2024-08-05
2024-08-11,2024-08-12,Family & Friends plus room,3,Kultur & Natur in Bregenz,279.00€,1,302,1432,,302-1-1432,2024-08-05
2024-08-11,2024-08-12,Family & Friends plus room,3,Overnight half board,286.50€,1,302,1024,,302-1-1024,2024-08-05
2024-08-13,2024-08-14,Family & Friends plus room,4,Overnight stay without breakfast,261.60€,1,402,1026,,402-1-1026,2024-08-05
2024-08-13,2024-08-14,Family & Friends plus room,4,Overnight breakfast,279.60€,1,402,1023,,402-1-1023,2024-08-05
