Check-in date,Check-out date,Room description,Room capacity,Meals,Price,Number available,felix-id,package-id,room-id,name-param,Scrape date
2024-07-23,2024-07-24,Studio,4,Overnight stay without breakfast,264.00€,1,918,1026,,918-1-1026,2024-04-08
2024-07-23,2024-07-24,Studio,4,Overnight breakfast,276.00€,1,918,1023,,918-1-1023,2024-04-08
2024-07-23,2024-07-24,Studio,4,Kultur & Natur in Bregenz,292.00€,1,918,1432,,918-1-1432,2024-04-08
2024-07-23,2024-07-24,Studio,4,Overnight half board,295.90€,1,918,1024,,918-1-1024,2024-04-08
2024-07-23,2024-07-24,Family & Friends plus room,3,Overnight stay without breakfast,273.80€,1,302,1026,,302-1-1026,2024-04-08
2024-07-23,2024-07-24,Family & Friends plus room,3,Overnight breakfast,285.80€,1,302,1023,,302-1-1023,2024-04-08
2024-07-23,2024-07-24,Family & Friends plus room,3,Kultur & Natur in Bregenz,301.80€,1,302,1432,,302-1-1432,2024-04-08
2024-07-23,2024-07-24,Family & Friends plus room,3,Overnight half board,305.70€,1,302,1024,,302-1-1024,2024-04-08
2024-07-30,2024-07-31,Single room,1,Overnight stay without breakfast,172.80€,2,101,1026,,101-1-1026,2024-04-08
2024-07-30,2024-07-31,Single room,1,Overnight breakfast,184.80€,2,101,1023,,101-1-1023,2024-04-08
2024-07-30,2024-07-31,Single room,1,Non refundable Bed & Breakfast,184.80€,2,101,1141,,101-1-1141,2024-04-08
2024-07-30,2024-07-31,Single room,1,Kultur & Natur in Bregenz,200.80€,2,101,1432,,101-1-1432,2024-04-08
2024-07-30,2024-07-31,Single room,1,Overnight half board,204.70€,2,101,1024,,101-1-1024,2024-04-08
2024-07-30,2024-07-31,Studio,4,Overnight stay without breakfast,264.00€,1,918,1026,,918-1-1026,2024-04-08
2024-07-30,2024-07-31,Studio,4,Overnight breakfast,276.00€,1,918,1023,,918-1-1023,2024-04-08
2024-07-30,2024-07-31,Studio,4,Kultur & Natur in Bregenz,292.00€,1,918,1432,,918-1-1432,2024-04-08
2024-07-30,2024-07-31,Studio,4,Overnight half board,295.90€,1,918,1024,,918-1-1024,2024-04-08
2024-08-01,2024-08-02,Family & Friends plus room,4,Overnight stay without breakfast,266.80€,3,402,1026,,402-1-1026,2024-04-08
2024-08-01,2024-08-02,Family & Friends plus room,4,Overnight breakfast,278.80€,3,402,1023,,402-1-1023,2024-04-08
2024-08-01,2024-08-02,Family & Friends plus room,4,Kultur & Natur in Bregenz,294.80€,3,402,1432,,402-1-1432,2024-04-08
2024-08-01,2024-08-02,Family & Friends plus room,4,Overnight half board,298.70€,3,402,1024,,402-1-1024,2024-04-08
2024-08-03,2024-08-04,Single room,1,Overnight stay without breakfast,172.80€,2,101,1026,,101-1-1026,2024-04-08
2024-08-03,2024-08-04,Single room,1,Overnight breakfast,184.80€,2,101,1023,,101-1-1023,2024-04-08
2024-08-03,2024-08-04,Single room,1,Non refundable Bed & Breakfast,184.80€,2,101,1141,,101-1-1141,2024-04-08
2024-08-03,2024-08-04,Single room,1,Kultur & Natur in Bregenz,200.80€,2,101,1432,,101-1-1432,2024-04-08
2024-08-03,2024-08-04,Single room,1,Overnight half board,204.70€,2,101,1024,,101-1-1024,2024-04-08
2024-08-07,2024-08-08,Family & Friends plus room,4,Overnight stay without breakfast,278.40€,1,402,1026,,402-1-1026,2024-04-08
2024-08-07,2024-08-08,Family & Friends plus room,4,Overnight breakfast,290.40€,1,402,1023,,402-1-1023,2024-04-08
2024-08-07,2024-08-08,Family & Friends plus room,4,Kultur & Natur in Bregenz,306.40€,1,402,1432,,402-1-1432,2024-04-08
2024-08-07,2024-08-08,Family & Friends plus room,4,Overnight half board,310.30€,1,402,1024,,402-1-1024,2024-04-08
2024-08-09,2024-08-10,Apartement,4,Overnight stay without breakfast,264.00€,1,603,1026,,603-1-1026,2024-04-08
2024-08-09,2024-08-10,Apartement,4,Overnight breakfast,276.00€,1,603,1023,,603-1-1023,2024-04-08
2024-08-09,2024-08-10,Apartement,4,Kultur & Natur in Bregenz,292.00€,1,603,1432,,603-1-1432,2024-04-08
2024-08-09,2024-08-10,Apartement,4,Overnight half board,295.90€,1,603,1024,,603-1-1024,2024-04-08
2024-08-09,2024-08-10,Studio,4,Overnight stay without breakfast,264.00€,1,918,1026,,918-1-1026,2024-04-08
2024-08-09,2024-08-10,Studio,4,Overnight breakfast,276.00€,1,918,1023,,918-1-1023,2024-04-08
2024-08-09,2024-08-10,Studio,4,Kultur & Natur in Bregenz,292.00€,1,918,1432,,918-1-1432,2024-04-08
2024-08-09,2024-08-10,Studio,4,Overnight half board,295.90€,1,918,1024,,918-1-1024,2024-04-08
2024-08-09,2024-08-10,Family & Friends plus room,3,Overnight stay without breakfast,273.80€,1,302,1026,,302-1-1026,2024-04-08
