Check-in date,Check-out date,Room description,Room capacity,Meals,Price,Number available,felix-id,package-id,room-id,name-param,Scrape date
2024-08-06,2024-08-07,Single room,1,Overnight stay without breakfast,174.00€,1,101,1026,,101-1-1026,2024-05-20
2024-08-06,2024-08-07,Single room,1,Overnight breakfast,192.00€,1,101,1023,,101-1-1023,2024-05-20
2024-08-06,2024-08-07,Single room,1,Non refundable Bed & Breakfast,192.00€,1,101,1141,,101-1-1141,2024-05-20
2024-08-06,2024-08-07,Single room,1,Kultur & Natur in Bregenz,208.00€,1,101,1432,,101-1-1432,2024-05-20
2024-08-06,2024-08-07,Single room,1,Overnight half board,215.50€,1,101,1024,,101-1-1024,2024-05-20
2024-08-09,2024-08-10,Family & Friends plus room,4,Overnight stay without breakfast,255.40€,1,402,1026,,402-1-1026,2024-05-20
2024-08-09,2024-08-10,Family & Friends plus room,4,Overnight breakfast,273.40€,1,402,1023,,402-1-1023,2024-05-20
2024-08-09,2024-08-10,Family & Friends plus room,4,Kultur & Natur in Bregenz,289.40€,1,402,1432,,402-1-1432,2024-05-20
2024-08-09,2024-08-10,Family & Friends plus room,4,Overnight half board,296.90€,1,402,1024,,402-1-1024,2024-05-20
2024-08-09,2024-08-10,Family & Friends plus room,3,Overnight stay without breakfast,256.00€,1,302,1026,,302-1-1026,2024-05-20
2024-08-09,2024-08-10,Family & Friends plus room,3,Overnight breakfast,274.00€,1,302,1023,,302-1-1023,2024-05-20
2024-08-09,2024-08-10,Family & Friends plus room,3,Kultur & Natur in Bregenz,290.00€,1,302,1432,,302-1-1432,2024-05-20
2024-08-09,2024-08-10,Family & Friends plus room,3,Overnight half board,297.50€,1,302,1024,,302-1-1024,2024-05-20
2024-08-13,2024-08-14,Apartement,4,Overnight stay without breakfast,244.80€,2,603,1026,,603-1-1026,2024-05-20
2024-08-13,2024-08-14,Apartement,4,Overnight breakfast,262.80€,2,603,1023,,603-1-1023,2024-05-20
2024-08-13,2024-08-14,Apartement,4,Kultur & Natur in Bregenz,278.80€,2,603,1432,,603-1-1432,2024-05-20
2024-08-13,2024-08-14,Apartement,4,Overnight half board,286.30€,2,603,1024,,603-1-1024,2024-05-20
2024-08-13,2024-08-14,Family & Friends plus room,4,Overnight stay without breakfast,255.40€,1,402,1026,,402-1-1026,2024-05-20
2024-08-13,2024-08-14,Family & Friends plus room,4,Overnight breakfast,273.40€,1,402,1023,,402-1-1023,2024-05-20
2024-08-13,2024-08-14,Family & Friends plus room,4,Kultur & Natur in Bregenz,289.40€,1,402,1432,,402-1-1432,2024-05-20
2024-08-13,2024-08-14,Family & Friends plus room,4,Overnight half board,296.90€,1,402,1024,,402-1-1024,2024-05-20
