Check-in date,Check-out date,Room description,Room capacity,Meals,Price,Number available,felix-id,package-id,room-id,name-param,Scrape date
2024-07-21,2024-07-22,Family & Friends plus room,3,Overnight stay without breakfast,232.10€,4,302,1026,,302-1-1026,2024-06-24
2024-07-21,2024-07-22,Family & Friends plus room,3,Overnight breakfast,250.10€,4,302,1023,,302-1-1023,2024-06-24
2024-07-21,2024-07-22,Family & Friends plus room,3,Kultur & Natur in Bregenz,266.10€,4,302,1432,,302-1-1432,2024-06-24
2024-07-21,2024-07-22,Family & Friends plus room,3,Overnight half board,273.60€,4,302,1024,,302-1-1024,2024-06-24
2024-07-21,2024-07-22,Family & Friends plus room,4,Overnight stay without breakfast,250.70€,2,402,1026,,402-1-1026,2024-06-24
2024-07-21,2024-07-22,Family & Friends plus room,4,Overnight breakfast,268.70€,2,402,1023,,402-1-1023,2024-06-24
2024-07-21,2024-07-22,Family & Friends plus room,4,Kultur & Natur in Bregenz,284.70€,2,402,1432,,402-1-1432,2024-06-24
2024-07-21,2024-07-22,Family & Friends plus room,4,Overnight half board,292.20€,2,402,1024,,402-1-1024,2024-06-24
2024-07-21,2024-07-22,Apartement,4,Overnight stay without breakfast,255.00€,1,603,1026,,603-1-1026,2024-06-24
2024-07-21,2024-07-22,Apartement,4,Overnight breakfast,273.00€,1,603,1023,,603-1-1023,2024-06-24
2024-07-21,2024-07-22,Apartement,4,Kultur & Natur in Bregenz,289.00€,1,603,1432,,603-1-1432,2024-06-24
2024-07-21,2024-07-22,Apartement,4,Overnight half board,296.50€,1,603,1024,,603-1-1024,2024-06-24
2024-07-23,2024-07-24,Family & Friends plus room,3,Overnight stay without breakfast,263.80€,1,302,1026,,302-1-1026,2024-06-24
2024-07-23,2024-07-24,Family & Friends plus room,3,Overnight breakfast,281.80€,1,302,1023,,302-1-1023,2024-06-24
2024-07-23,2024-07-24,Family & Friends plus room,3,Kultur & Natur in Bregenz,297.80€,1,302,1432,,302-1-1432,2024-06-24
2024-07-23,2024-07-24,Family & Friends plus room,3,Overnight half board,305.30€,1,302,1024,,302-1-1024,2024-06-24
2024-07-24,2024-07-25,Family & Friends plus room,3,Overnight stay without breakfast,263.80€,1,302,1026,,302-1-1026,2024-06-24
2024-07-24,2024-07-25,Family & Friends plus room,3,Overnight breakfast,281.80€,1,302,1023,,302-1-1023,2024-06-24
2024-07-24,2024-07-25,Family & Friends plus room,3,Kultur & Natur in Bregenz,297.80€,1,302,1432,,302-1-1432,2024-06-24
2024-07-24,2024-07-25,Family & Friends plus room,3,Overnight half board,305.30€,1,302,1024,,302-1-1024,2024-06-24
2024-07-25,2024-07-26,Studio,4,Overnight stay without breakfast,255.00€,1,918,1026,,918-1-1026,2024-06-24
2024-07-25,2024-07-26,Studio,4,Overnight breakfast,273.00€,1,918,1023,,918-1-1023,2024-06-24
2024-07-25,2024-07-26,Studio,4,Kultur & Natur in Bregenz,289.00€,1,918,1432,,918-1-1432,2024-06-24
2024-07-25,2024-07-26,Studio,4,Overnight half board,296.50€,1,918,1024,,918-1-1024,2024-06-24
2024-07-28,2024-07-29,Single room,1,Overnight stay without breakfast,181.30€,1,101,1026,,101-1-1026,2024-06-24
2024-07-28,2024-07-29,Single room,1,Non refundable Bed & Breakfast,190.50€,1,101,1141,,101-1-1141,2024-06-24
2024-07-28,2024-07-29,Single room,1,Overnight breakfast,199.30€,1,101,1023,,101-1-1023,2024-06-24
2024-07-28,2024-07-29,Single room,1,Kultur & Natur in Bregenz,215.30€,1,101,1432,,101-1-1432,2024-06-24
2024-07-28,2024-07-29,Single room,1,Overnight half board,222.80€,1,101,1024,,101-1-1024,2024-06-24
2024-07-28,2024-07-29,Double room superior,2,Overnight stay without breakfast,220.00€,1,203,1026,,203-1-1026,2024-06-24
2024-07-28,2024-07-29,Double room superior,2,Overnight breakfast,238.00€,1,203,1023,,203-1-1023,2024-06-24
2024-07-28,2024-07-29,Double room superior,2,Kultur & Natur in Bregenz,254.00€,1,203,1432,,203-1-1432,2024-06-24
2024-07-28,2024-07-29,Double room superior,2,Overnight half board,261.50€,1,203,1024,,203-1-1024,2024-06-24
2024-07-28,2024-07-29,Family & Friends room,3,Overnight stay without breakfast,220.00€,4,301,1026,,301-1-1026,2024-06-24
2024-07-28,2024-07-29,Family & Friends room,3,Overnight breakfast,238.00€,4,301,1023,,301-1-1023,2024-06-24
2024-07-28,2024-07-29,Family & Friends room,3,Kultur & Natur in Bregenz,254.00€,4,301,1432,,301-1-1432,2024-06-24
2024-07-28,2024-07-29,Family & Friends room,3,Overnight half board,261.50€,4,301,1024,,301-1-1024,2024-06-24
2024-07-28,2024-07-29,Double room deluxe,2,Overnight stay without breakfast,229.20€,3,205,1026,,205-1-1026,2024-06-24
2024-07-28,2024-07-29,Double room deluxe,2,Overnight breakfast,247.20€,3,205,1023,,205-1-1023,2024-06-24
2024-07-28,2024-07-29,Double room deluxe,2,Kultur & Natur in Bregenz,263.20€,3,205,1432,,205-1-1432,2024-06-24
2024-07-28,2024-07-29,Double room deluxe,2,Overnight half board,270.70€,3,205,1024,,205-1-1024,2024-06-24
2024-07-28,2024-07-29,Family & Friends plus room,3,Overnight stay without breakfast,232.10€,4,302,1026,,302-1-1026,2024-06-24
2024-07-28,2024-07-29,Family & Friends plus room,3,Overnight breakfast,250.10€,4,302,1023,,302-1-1023,2024-06-24
2024-07-28,2024-07-29,Family & Friends plus room,3,Kultur & Natur in Bregenz,266.10€,4,302,1432,,302-1-1432,2024-06-24
2024-07-28,2024-07-29,Family & Friends plus room,3,Overnight half board,273.60€,4,302,1024,,302-1-1024,2024-06-24
2024-07-28,2024-07-29,Family & Friends plus room,4,Overnight stay without breakfast,250.70€,3,402,1026,,402-1-1026,2024-06-24
2024-07-28,2024-07-29,Family & Friends plus room,4,Overnight breakfast,268.70€,3,402,1023,,402-1-1023,2024-06-24
2024-07-28,2024-07-29,Family & Friends plus room,4,Kultur & Natur in Bregenz,284.70€,3,402,1432,,402-1-1432,2024-06-24
2024-07-28,2024-07-29,Family & Friends plus room,4,Overnight half board,292.20€,3,402,1024,,402-1-1024,2024-06-24
2024-07-28,2024-07-29,Apartement,4,Overnight stay without breakfast,255.00€,3,603,1026,,603-1-1026,2024-06-24
2024-07-28,2024-07-29,Apartement,4,Overnight breakfast,273.00€,3,603,1023,,603-1-1023,2024-06-24
2024-07-28,2024-07-29,Apartement,4,Kultur & Natur in Bregenz,289.00€,3,603,1432,,603-1-1432,2024-06-24
2024-07-28,2024-07-29,Apartement,4,Overnight half board,296.50€,3,603,1024,,603-1-1024,2024-06-24
2024-08-04,2024-08-05,Single room,1,Overnight stay without breakfast,166.80€,4,101,1026,,101-1-1026,2024-06-24
2024-08-04,2024-08-05,Single room,1,Non refundable Bed & Breakfast,176.70€,4,101,1141,,101-1-1141,2024-06-24
2024-08-04,2024-08-05,Single room,1,Overnight breakfast,184.80€,4,101,1023,,101-1-1023,2024-06-24
2024-08-04,2024-08-05,Single room,1,Kultur & Natur in Bregenz,200.80€,4,101,1432,,101-1-1432,2024-06-24
2024-08-04,2024-08-05,Single room,1,Overnight half board,208.30€,4,101,1024,,101-1-1024,2024-06-24
2024-08-04,2024-08-05,Double room,2,Overnight stay without breakfast,172.70€,4,201,1026,,201-1-1026,2024-06-24
2024-08-04,2024-08-05,Double room,2,Non refundable Bed & Breakfast,183.00€,4,201,1141,,201-1-1141,2024-06-24
2024-08-04,2024-08-05,Double room,2,Overnight breakfast,190.70€,4,201,1023,,201-1-1023,2024-06-24
2024-08-04,2024-08-05,Double room,2,Kultur & Natur in Bregenz,206.70€,4,201,1432,,201-1-1432,2024-06-24
2024-08-04,2024-08-05,Double room,2,Overnight half board,214.20€,4,201,1024,,201-1-1024,2024-06-24
2024-08-04,2024-08-05,Double room superior,2,Overnight stay without breakfast,211.20€,4,203,1026,,203-1-1026,2024-06-24
2024-08-04,2024-08-05,Double room superior,2,Overnight breakfast,229.20€,4,203,1023,,203-1-1023,2024-06-24
2024-08-04,2024-08-05,Double room superior,2,Kultur & Natur in Bregenz,245.20€,4,203,1432,,203-1-1432,2024-06-24
2024-08-04,2024-08-05,Double room superior,2,Overnight half board,252.70€,4,203,1024,,203-1-1024,2024-06-24
2024-08-04,2024-08-05,Double room deluxe,2,Overnight stay without breakfast,219.60€,4,205,1026,,205-1-1026,2024-06-24
2024-08-04,2024-08-05,Double room deluxe,2,Overnight breakfast,237.60€,4,205,1023,,205-1-1023,2024-06-24
2024-08-04,2024-08-05,Double room deluxe,2,Kultur & Natur in Bregenz,253.60€,4,205,1432,,205-1-1432,2024-06-24
2024-08-04,2024-08-05,Double room deluxe,2,Overnight half board,261.10€,4,205,1024,,205-1-1024,2024-06-24
2024-08-04,2024-08-05,Family & Friends room,3,Overnight stay without breakfast,220.00€,4,301,1026,,301-1-1026,2024-06-24
2024-08-04,2024-08-05,Family & Friends room,3,Overnight breakfast,238.00€,4,301,1023,,301-1-1023,2024-06-24
2024-08-04,2024-08-05,Family & Friends room,3,Kultur & Natur in Bregenz,254.00€,4,301,1432,,301-1-1432,2024-06-24
2024-08-04,2024-08-05,Family & Friends room,3,Overnight half board,261.50€,4,301,1024,,301-1-1024,2024-06-24
2024-08-04,2024-08-05,Family & Friends plus room,3,Overnight stay without breakfast,232.10€,4,302,1026,,302-1-1026,2024-06-24
2024-08-04,2024-08-05,Family & Friends plus room,3,Overnight breakfast,250.10€,4,302,1023,,302-1-1023,2024-06-24
2024-08-04,2024-08-05,Family & Friends plus room,3,Kultur & Natur in Bregenz,266.10€,4,302,1432,,302-1-1432,2024-06-24
2024-08-04,2024-08-05,Family & Friends plus room,3,Overnight half board,273.60€,4,302,1024,,302-1-1024,2024-06-24
2024-08-04,2024-08-05,Apartement,4,Overnight stay without breakfast,255.00€,1,603,1026,,603-1-1026,2024-06-24
2024-08-04,2024-08-05,Apartement,4,Overnight breakfast,273.00€,1,603,1023,,603-1-1023,2024-06-24
2024-08-04,2024-08-05,Apartement,4,Kultur & Natur in Bregenz,289.00€,1,603,1432,,603-1-1432,2024-06-24
2024-08-04,2024-08-05,Apartement,4,Overnight half board,296.50€,1,603,1024,,603-1-1024,2024-06-24
2024-08-04,2024-08-05,Family & Friends plus room,4,Overnight stay without breakfast,261.60€,1,402,1026,,402-1-1026,2024-06-24
2024-08-04,2024-08-05,Family & Friends plus room,4,Overnight breakfast,279.60€,1,402,1023,,402-1-1023,2024-06-24
2024-08-04,2024-08-05,Family & Friends plus room,4,Kultur & Natur in Bregenz,295.60€,1,402,1432,,402-1-1432,2024-06-24
2024-08-04,2024-08-05,Family & Friends plus room,4,Overnight half board,303.10€,1,402,1024,,402-1-1024,2024-06-24
2024-08-09,2024-08-10,Single room,1,Overnight stay without breakfast,181.30€,1,101,1026,,101-1-1026,2024-06-24
2024-08-09,2024-08-10,Single room,1,Non refundable Bed & Breakfast,190.50€,1,101,1141,,101-1-1141,2024-06-24
2024-08-09,2024-08-10,Single room,1,Overnight breakfast,199.30€,1,101,1023,,101-1-1023,2024-06-24
2024-08-09,2024-08-10,Single room,1,Kultur & Natur in Bregenz,215.30€,1,101,1432,,101-1-1432,2024-06-24
2024-08-09,2024-08-10,Single room,1,Overnight half board,222.80€,1,101,1024,,101-1-1024,2024-06-24
2024-08-09,2024-08-10,Family & Friends plus room,3,Overnight stay without breakfast,263.80€,1,302,1026,,302-1-1026,2024-06-24
2024-08-09,2024-08-10,Family & Friends plus room,3,Overnight breakfast,281.80€,1,302,1023,,302-1-1023,2024-06-24
2024-08-09,2024-08-10,Family & Friends plus room,3,Kultur & Natur in Bregenz,297.80€,1,302,1432,,302-1-1432,2024-06-24
2024-08-09,2024-08-10,Family & Friends plus room,3,Overnight half board,305.30€,1,302,1024,,302-1-1024,2024-06-24
2024-08-10,2024-08-11,Family & Friends plus room,3,Overnight stay without breakfast,263.80€,1,302,1026,,302-1-1026,2024-06-24
2024-08-10,2024-08-11,Family & Friends plus room,3,Overnight breakfast,281.80€,1,302,1023,,302-1-1023,2024-06-24
2024-08-10,2024-08-11,Family & Friends plus room,3,Kultur & Natur in Bregenz,297.80€,1,302,1432,,302-1-1432,2024-06-24
2024-08-10,2024-08-11,Family & Friends plus room,3,Overnight half board,305.30€,1,302,1024,,302-1-1024,2024-06-24
2024-08-11,2024-08-12,Single room,1,Overnight stay without breakfast,159.50€,4,101,1026,,101-1-1026,2024-06-24
2024-08-11,2024-08-12,Single room,1,Non refundable Bed & Breakfast,169.80€,4,101,1141,,101-1-1141,2024-06-24
2024-08-11,2024-08-12,Single room,1,Overnight breakfast,177.50€,4,101,1023,,101-1-1023,2024-06-24
2024-08-11,2024-08-12,Single room,1,Kultur & Natur in Bregenz,193.50€,4,101,1432,,101-1-1432,2024-06-24
2024-08-11,2024-08-12,Single room,1,Overnight half board,201.00€,4,101,1024,,101-1-1024,2024-06-24
2024-08-11,2024-08-12,Double room superior,2,Overnight stay without breakfast,202.40€,4,203,1026,,203-1-1026,2024-06-24
2024-08-11,2024-08-12,Double room superior,2,Overnight breakfast,220.40€,4,203,1023,,203-1-1023,2024-06-24
2024-08-11,2024-08-12,Double room superior,2,Kultur & Natur in Bregenz,236.40€,4,203,1432,,203-1-1432,2024-06-24
2024-08-11,2024-08-12,Double room superior,2,Overnight half board,243.90€,4,203,1024,,203-1-1024,2024-06-24
2024-08-11,2024-08-12,Double room deluxe,2,Overnight stay without breakfast,219.60€,4,205,1026,,205-1-1026,2024-06-24
2024-08-11,2024-08-12,Double room deluxe,2,Overnight breakfast,237.60€,4,205,1023,,205-1-1023,2024-06-24
2024-08-11,2024-08-12,Double room deluxe,2,Kultur & Natur in Bregenz,253.60€,4,205,1432,,205-1-1432,2024-06-24
2024-08-11,2024-08-12,Double room deluxe,2,Overnight half board,261.10€,4,205,1024,,205-1-1024,2024-06-24
2024-08-11,2024-08-12,Family & Friends room,3,Overnight stay without breakfast,220.00€,4,301,1026,,301-1-1026,2024-06-24
2024-08-11,2024-08-12,Family & Friends room,3,Overnight breakfast,238.00€,4,301,1023,,301-1-1023,2024-06-24
2024-08-11,2024-08-12,Family & Friends room,3,Kultur & Natur in Bregenz,254.00€,4,301,1432,,301-1-1432,2024-06-24
2024-08-11,2024-08-12,Family & Friends room,3,Overnight half board,261.50€,4,301,1024,,301-1-1024,2024-06-24
2024-08-11,2024-08-12,Family & Friends plus room,3,Overnight stay without breakfast,232.10€,4,302,1026,,302-1-1026,2024-06-24
2024-08-11,2024-08-12,Family & Friends plus room,3,Overnight breakfast,250.10€,4,302,1023,,302-1-1023,2024-06-24
2024-08-11,2024-08-12,Family & Friends plus room,3,Kultur & Natur in Bregenz,266.10€,4,302,1432,,302-1-1432,2024-06-24
2024-08-11,2024-08-12,Family & Friends plus room,3,Overnight half board,273.60€,4,302,1024,,302-1-1024,2024-06-24
2024-08-11,2024-08-12,Family & Friends plus room,4,Overnight stay without breakfast,250.70€,3,402,1026,,402-1-1026,2024-06-24
2024-08-11,2024-08-12,Family & Friends plus room,4,Overnight breakfast,268.70€,3,402,1023,,402-1-1023,2024-06-24
2024-08-11,2024-08-12,Family & Friends plus room,4,Kultur & Natur in Bregenz,284.70€,3,402,1432,,402-1-1432,2024-06-24
2024-08-11,2024-08-12,Family & Friends plus room,4,Overnight half board,292.20€,3,402,1024,,402-1-1024,2024-06-24
2024-08-11,2024-08-12,Apartement,4,Overnight stay without breakfast,255.00€,2,603,1026,,603-1-1026,2024-06-24
2024-08-11,2024-08-12,Apartement,4,Overnight breakfast,273.00€,2,603,1023,,603-1-1023,2024-06-24
2024-08-11,2024-08-12,Apartement,4,Kultur & Natur in Bregenz,289.00€,2,603,1432,,603-1-1432,2024-06-24
2024-08-11,2024-08-12,Apartement,4,Overnight half board,296.50€,2,603,1024,,603-1-1024,2024-06-24
2024-08-11,2024-08-12,Studio,4,Overnight stay without breakfast,255.00€,1,918,1026,,918-1-1026,2024-06-24
2024-08-11,2024-08-12,Studio,4,Overnight breakfast,273.00€,1,918,1023,,918-1-1023,2024-06-24
2024-08-11,2024-08-12,Studio,4,Kultur & Natur in Bregenz,289.00€,1,918,1432,,918-1-1432,2024-06-24
