Check-in date,Check-out date,Room description,Room capacity,Meals,Price,Number available,felix-id,package-id,room-id,name-param,Scrape date
2024-08-06,2024-08-07,Single room,1,Overnight stay without breakfast,181.30€,1,101,1026,,101-1-1026,2024-06-10
2024-08-06,2024-08-07,Single room,1,Non refundable Bed & Breakfast,190.50€,1,101,1141,,101-1-1141,2024-06-10
2024-08-06,2024-08-07,Single room,1,Overnight breakfast,199.30€,1,101,1023,,101-1-1023,2024-06-10
2024-08-06,2024-08-07,Single room,1,Kultur & Natur in Bregenz,215.30€,1,101,1432,,101-1-1432,2024-06-10
2024-08-06,2024-08-07,Single room,1,Overnight half board,222.80€,1,101,1024,,101-1-1024,2024-06-10
2024-08-09,2024-08-10,Single room,1,Overnight stay without breakfast,181.30€,1,101,1026,,101-1-1026,2024-06-10
2024-08-09,2024-08-10,Single room,1,Non refundable Bed & Breakfast,190.50€,1,101,1141,,101-1-1141,2024-06-10
2024-08-09,2024-08-10,Single room,1,Overnight breakfast,199.30€,1,101,1023,,101-1-1023,2024-06-10
2024-08-09,2024-08-10,Single room,1,Kultur & Natur in Bregenz,215.30€,1,101,1432,,101-1-1432,2024-06-10
2024-08-09,2024-08-10,Single room,1,Overnight half board,222.80€,1,101,1024,,101-1-1024,2024-06-10
2024-08-13,2024-08-14,Apartement,4,Overnight stay without breakfast,255.00€,2,603,1026,,603-1-1026,2024-06-10
2024-08-13,2024-08-14,Apartement,4,Overnight breakfast,273.00€,2,603,1023,,603-1-1023,2024-06-10
2024-08-13,2024-08-14,Apartement,4,Kultur & Natur in Bregenz,289.00€,2,603,1432,,603-1-1432,2024-06-10
2024-08-13,2024-08-14,Apartement,4,Overnight half board,296.50€,2,603,1024,,603-1-1024,2024-06-10
