Check-in date,Check-out date,Room description,Room capacity,Meals,Price,Number available,felix-id,package-id,room-id,name-param,Scrape date
2024-07-24,2024-07-25,Family & Friends plus room,4,Overnight stay without breakfast,261.60€,1,402,1026,,402-1-1026,2024-07-22
2024-07-24,2024-07-25,Family & Friends plus room,4,Overnight breakfast,279.60€,1,402,1023,,402-1-1023,2024-07-22
2024-07-24,2024-07-25,Family & Friends plus room,4,Kultur & Natur in Bregenz,295.60€,1,402,1432,,402-1-1432,2024-07-22
2024-07-24,2024-07-25,Family & Friends plus room,4,Overnight half board,303.10€,1,402,1024,,402-1-1024,2024-07-22
2024-07-24,2024-07-25,Family & Friends plus room,3,Overnight stay without breakfast,263.80€,1,302,1026,,302-1-1026,2024-07-22
2024-07-24,2024-07-25,Family & Friends plus room,3,Overnight breakfast,281.80€,1,302,1023,,302-1-1023,2024-07-22
2024-07-24,2024-07-25,Family & Friends plus room,3,Kultur & Natur in Bregenz,297.80€,1,302,1432,,302-1-1432,2024-07-22
2024-07-24,2024-07-25,Family & Friends plus room,3,Overnight half board,305.30€,1,302,1024,,302-1-1024,2024-07-22
2024-07-25,2024-07-26,Family & Friends plus room,4,Overnight stay without breakfast,261.60€,1,402,1026,,402-1-1026,2024-07-22
2024-07-25,2024-07-26,Family & Friends plus room,4,Overnight breakfast,279.60€,1,402,1023,,402-1-1023,2024-07-22
2024-07-25,2024-07-26,Family & Friends plus room,4,Kultur & Natur in Bregenz,295.60€,1,402,1432,,402-1-1432,2024-07-22
2024-07-25,2024-07-26,Family & Friends plus room,4,Overnight half board,303.10€,1,402,1024,,402-1-1024,2024-07-22
2024-07-28,2024-07-29,Double room superior,2,Overnight stay without breakfast,188.80€,1,203,1026,,203-1-1026,2024-07-22
2024-07-28,2024-07-29,Double room superior,2,Overnight breakfast,206.80€,1,203,1023,,203-1-1023,2024-07-22
2024-07-28,2024-07-29,Double room superior,2,Kultur & Natur in Bregenz,222.80€,1,203,1432,,203-1-1432,2024-07-22
2024-07-28,2024-07-29,Double room superior,2,Overnight half board,230.30€,1,203,1024,,203-1-1024,2024-07-22
2024-07-28,2024-07-29,Family & Friends room,3,Overnight stay without breakfast,205.20€,2,301,1026,,301-1-1026,2024-07-22
2024-07-28,2024-07-29,Family & Friends room,3,Overnight breakfast,223.20€,2,301,1023,,301-1-1023,2024-07-22
2024-07-28,2024-07-29,Family & Friends room,3,Kultur & Natur in Bregenz,239.20€,2,301,1432,,301-1-1432,2024-07-22
2024-07-28,2024-07-29,Family & Friends room,3,Overnight half board,246.70€,2,301,1024,,301-1-1024,2024-07-22
2024-07-28,2024-07-29,Family & Friends plus room,4,Overnight stay without breakfast,216.20€,2,402,1026,,402-1-1026,2024-07-22
2024-07-28,2024-07-29,Family & Friends plus room,4,Overnight breakfast,234.20€,2,402,1023,,402-1-1023,2024-07-22
2024-07-28,2024-07-29,Family & Friends plus room,4,Kultur & Natur in Bregenz,250.20€,2,402,1432,,402-1-1432,2024-07-22
2024-07-28,2024-07-29,Family & Friends plus room,4,Overnight half board,257.70€,2,402,1024,,402-1-1024,2024-07-22
2024-07-28,2024-07-29,Family & Friends plus room,3,Overnight stay without breakfast,218.40€,4,302,1026,,302-1-1026,2024-07-22
2024-07-28,2024-07-29,Family & Friends plus room,3,Overnight breakfast,236.40€,4,302,1023,,302-1-1023,2024-07-22
2024-07-28,2024-07-29,Family & Friends plus room,3,Kultur & Natur in Bregenz,252.40€,4,302,1432,,302-1-1432,2024-07-22
2024-07-28,2024-07-29,Family & Friends plus room,3,Overnight half board,259.90€,4,302,1024,,302-1-1024,2024-07-22
2024-07-28,2024-07-29,Apartement,4,Overnight stay without breakfast,227.00€,2,603,1026,,603-1-1026,2024-07-22
2024-07-28,2024-07-29,Apartement,4,Overnight breakfast,245.00€,2,603,1023,,603-1-1023,2024-07-22
2024-07-28,2024-07-29,Apartement,4,Kultur & Natur in Bregenz,261.00€,2,603,1432,,603-1-1432,2024-07-22
2024-07-28,2024-07-29,Apartement,4,Overnight half board,268.50€,2,603,1024,,603-1-1024,2024-07-22
2024-07-30,2024-07-31,Single room,1,Overnight stay without breakfast,181.30€,1,101,1026,,101-1-1026,2024-07-22
2024-07-30,2024-07-31,Single room,1,Non refundable Bed & Breakfast,190.50€,1,101,1141,,101-1-1141,2024-07-22
2024-07-30,2024-07-31,Single room,1,Overnight breakfast,199.30€,1,101,1023,,101-1-1023,2024-07-22
2024-07-30,2024-07-31,Single room,1,Kultur & Natur in Bregenz,215.30€,1,101,1432,,101-1-1432,2024-07-22
2024-07-30,2024-07-31,Single room,1,Overnight half board,222.80€,1,101,1024,,101-1-1024,2024-07-22
2024-08-01,2024-08-02,Single room,1,Overnight stay without breakfast,181.30€,1,101,1026,,101-1-1026,2024-07-22
2024-08-01,2024-08-02,Single room,1,Non refundable Bed & Breakfast,190.50€,1,101,1141,,101-1-1141,2024-07-22
