Check-in date,Check-out date,Room description,Room capacity,Meals,Price,Number available,felix-id,package-id,room-id,name-param,Scrape date
2024-08-13,2024-08-14,Double room,2,Overnight stay without breakfast,196.30€,1,201,1026,,201-1-1026,2024-08-12
2024-08-13,2024-08-14,Double room,2,Non refundable Bed & Breakfast,205.50€,1,201,1141,,201-1-1141,2024-08-12
2024-08-13,2024-08-14,Double room,2,Overnight breakfast,214.30€,1,201,1023,,201-1-1023,2024-08-12
2024-08-13,2024-08-14,Double room,2,Kultur & Natur in Bregenz,230.30€,1,201,1432,,201-1-1432,2024-08-12
2024-08-13,2024-08-14,Double room,2,Overnight half board,237.80€,1,201,1024,,201-1-1024,2024-08-12
2024-08-16,2024-08-17,Single room,1,Overnight stay without breakfast,181.30€,1,101,1026,,101-1-1026,2024-08-12
2024-08-16,2024-08-17,Single room,1,Non refundable Bed & Breakfast,190.50€,1,101,1141,,101-1-1141,2024-08-12
2024-08-16,2024-08-17,Single room,1,Overnight breakfast,199.30€,1,101,1023,,101-1-1023,2024-08-12
2024-08-16,2024-08-17,Single room,1,Kultur & Natur in Bregenz,215.30€,1,101,1432,,101-1-1432,2024-08-12
2024-08-16,2024-08-17,Single room,1,Overnight half board,222.80€,1,101,1024,,101-1-1024,2024-08-12
2024-08-17,2024-08-18,Double room,2,Overnight stay without breakfast,196.30€,1,201,1026,,201-1-1026,2024-08-12
2024-08-17,2024-08-18,Double room,2,Non refundable Bed & Breakfast,205.50€,1,201,1141,,201-1-1141,2024-08-12
2024-08-17,2024-08-18,Double room,2,Overnight breakfast,214.30€,1,201,1023,,201-1-1023,2024-08-12
2024-08-17,2024-08-18,Double room,2,Kultur & Natur in Bregenz,230.30€,1,201,1432,,201-1-1432,2024-08-12
2024-08-17,2024-08-18,Double room,2,Overnight half board,237.80€,1,201,1024,,201-1-1024,2024-08-12
2024-08-18,2024-08-19,Double room superior,2,Overnight stay without breakfast,188.80€,1,203,1026,,203-1-1026,2024-08-12
2024-08-18,2024-08-19,Double room superior,2,Overnight breakfast,206.80€,1,203,1023,,203-1-1023,2024-08-12
2024-08-18,2024-08-19,Double room superior,2,Kultur & Natur in Bregenz,222.80€,1,203,1432,,203-1-1432,2024-08-12
2024-08-18,2024-08-19,Double room superior,2,Overnight half board,230.30€,1,203,1024,,203-1-1024,2024-08-12
2024-08-18,2024-08-19,Family & Friends plus room,3,Overnight stay without breakfast,189.20€,4,302,1026,,302-1-1026,2024-08-12
2024-08-18,2024-08-19,Family & Friends plus room,3,Overnight breakfast,207.20€,4,302,1023,,302-1-1023,2024-08-12
2024-08-18,2024-08-19,Family & Friends plus room,3,Kultur & Natur in Bregenz,223.20€,4,302,1432,,302-1-1432,2024-08-12
2024-08-18,2024-08-19,Family & Friends plus room,3,Overnight half board,230.70€,4,302,1024,,302-1-1024,2024-08-12
2024-08-18,2024-08-19,Family & Friends room,3,Overnight stay without breakfast,193.20€,2,301,1026,,301-1-1026,2024-08-12
2024-08-18,2024-08-19,Family & Friends room,3,Overnight breakfast,211.20€,2,301,1023,,301-1-1023,2024-08-12
2024-08-18,2024-08-19,Family & Friends room,3,Kultur & Natur in Bregenz,227.20€,2,301,1432,,301-1-1432,2024-08-12
2024-08-18,2024-08-19,Family & Friends room,3,Overnight half board,234.70€,2,301,1024,,301-1-1024,2024-08-12
2024-08-18,2024-08-19,Family & Friends plus room,4,Overnight stay without breakfast,195.80€,4,402,1026,,402-1-1026,2024-08-12
2024-08-18,2024-08-19,Family & Friends plus room,4,Overnight breakfast,213.80€,4,402,1023,,402-1-1023,2024-08-12
2024-08-18,2024-08-19,Family & Friends plus room,4,Kultur & Natur in Bregenz,229.80€,4,402,1432,,402-1-1432,2024-08-12
2024-08-18,2024-08-19,Family & Friends plus room,4,Overnight half board,237.30€,4,402,1024,,402-1-1024,2024-08-12
