Check-in date,Check-out date,Room description,Room capacity,Meals,Price,Number available,felix-id,package-id,room-id,name-param,Scrape date
2024-07-17,2024-07-18,Double room,2,Overnight stay without breakfast,147.60€,1,201,1026,,201-1-1026,2024-06-18
2024-07-17,2024-07-18,Double room,2,Non refundable Bed & Breakfast,157.20€,1,201,1141,,201-1-1141,2024-06-18
2024-07-17,2024-07-18,Double room,2,Overnight breakfast,165.60€,1,201,1023,,201-1-1023,2024-06-18
2024-07-17,2024-07-18,Double room,2,Kultur & Natur in Bregenz,181.60€,1,201,1432,,201-1-1432,2024-06-18
2024-07-17,2024-07-18,Double room,2,Overnight half board,189.10€,1,201,1024,,201-1-1024,2024-06-18
2024-07-25,2024-07-26,Double room,2,Overnight stay without breakfast,196.30€,1,201,1026,,201-1-1026,2024-06-18
2024-07-25,2024-07-26,Double room,2,Non refundable Bed & Breakfast,205.50€,1,201,1141,,201-1-1141,2024-06-18
2024-07-25,2024-07-26,Double room,2,Overnight breakfast,214.30€,1,201,1023,,201-1-1023,2024-06-18
2024-07-25,2024-07-26,Double room,2,Kultur & Natur in Bregenz,230.30€,1,201,1432,,201-1-1432,2024-06-18
2024-07-25,2024-07-26,Double room,2,Overnight half board,237.80€,1,201,1024,,201-1-1024,2024-06-18
2024-08-03,2024-08-04,Double room superior,2,Overnight stay without breakfast,220.00€,1,203,1026,,203-1-1026,2024-06-18
2024-08-03,2024-08-04,Double room superior,2,Overnight breakfast,238.00€,1,203,1023,,203-1-1023,2024-06-18
2024-08-03,2024-08-04,Double room superior,2,Kultur & Natur in Bregenz,254.00€,1,203,1432,,203-1-1432,2024-06-18
2024-08-03,2024-08-04,Double room superior,2,Overnight half board,261.50€,1,203,1024,,203-1-1024,2024-06-18
2024-08-06,2024-08-07,Single room,1,Overnight stay without breakfast,181.30€,1,101,1026,,101-1-1026,2024-06-18
2024-08-06,2024-08-07,Single room,1,Non refundable Bed & Breakfast,190.50€,1,101,1141,,101-1-1141,2024-06-18
2024-08-06,2024-08-07,Single room,1,Overnight breakfast,199.30€,1,101,1023,,101-1-1023,2024-06-18
2024-08-06,2024-08-07,Single room,1,Kultur & Natur in Bregenz,215.30€,1,101,1432,,101-1-1432,2024-06-18
2024-08-06,2024-08-07,Single room,1,Overnight half board,222.80€,1,101,1024,,101-1-1024,2024-06-18
2024-08-09,2024-08-10,Single room,1,Overnight stay without breakfast,181.30€,1,101,1026,,101-1-1026,2024-06-18
2024-08-09,2024-08-10,Single room,1,Non refundable Bed & Breakfast,190.50€,1,101,1141,,101-1-1141,2024-06-18
2024-08-09,2024-08-10,Single room,1,Overnight breakfast,199.30€,1,101,1023,,101-1-1023,2024-06-18
2024-08-09,2024-08-10,Single room,1,Kultur & Natur in Bregenz,215.30€,1,101,1432,,101-1-1432,2024-06-18
2024-08-09,2024-08-10,Single room,1,Overnight half board,222.80€,1,101,1024,,101-1-1024,2024-06-18
2024-08-13,2024-08-14,Apartement,4,Overnight stay without breakfast,255.00€,2,603,1026,,603-1-1026,2024-06-18
2024-08-13,2024-08-14,Apartement,4,Overnight breakfast,273.00€,2,603,1023,,603-1-1023,2024-06-18
2024-08-13,2024-08-14,Apartement,4,Kultur & Natur in Bregenz,289.00€,2,603,1432,,603-1-1432,2024-06-18
2024-08-13,2024-08-14,Apartement,4,Overnight half board,296.50€,2,603,1024,,603-1-1024,2024-06-18
